date,year,month,weekday,is_weekend,season,demand_gwh_daily,demand_low_gwh_daily(5%),demand_high_gwh_daily(7%),demand_gwh,demand_low_gwh(5%),demand_high_gwh(7%),gdp_current_usd_billion,population_total,temp_c_synthetic,rainfall_mm_synthetic,humidity_pct_synthetic,lat,lon,country,aggregation
1/1/2022,2022,1,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,24.07,1.52,55.3,-0.023559,37.906193,Kenya,national
1/2/2022,2022,1,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,26.72,2.11,51,-0.023559,37.906193,Kenya,national
1/3/2022,2022,1,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,26.45,2.48,55,-0.023559,37.906193,Kenya,national
1/4/2022,2022,1,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.98,2.7,56.5,-0.023559,37.906193,Kenya,national
1/5/2022,2022,1,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.4,2.89,59.1,-0.023559,37.906193,Kenya,national
1/6/2022,2022,1,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,22.95,2.27,48.5,-0.023559,37.906193,Kenya,national
1/7/2022,2022,1,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.14,0,59.4,-0.023559,37.906193,Kenya,national
1/8/2022,2022,1,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,23.89,4.26,64.5,-0.023559,37.906193,Kenya,national
1/9/2022,2022,1,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,25.49,0,62.8,-0.023559,37.906193,Kenya,national
1/10/2022,2022,1,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,20.31,3.93,50,-0.023559,37.906193,Kenya,national
1/11/2022,2022,1,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,27.13,1.17,66.5,-0.023559,37.906193,Kenya,national
1/12/2022,2022,1,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.81,1.77,66.4,-0.023559,37.906193,Kenya,national
1/13/2022,2022,1,Thursday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.36,1.28,62.4,-0.023559,37.906193,Kenya,national
1/14/2022,2022,1,Friday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.73,1.51,50.2,-0.023559,37.906193,Kenya,national
1/15/2022,2022,1,Saturday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,23.24,2.03,48.2,-0.023559,37.906193,Kenya,national
1/16/2022,2022,1,Sunday,TRUE,short_dry,26.597,,,10008,,,113.42,54241584,24.93,1.64,60.3,-0.023559,37.906193,Kenya,national
1/17/2022,2022,1,Monday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,25.65,0.41,51.8,-0.023559,37.906193,Kenya,national
1/18/2022,2022,1,Tuesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.59,3.33,49.3,-0.023559,37.906193,Kenya,national
1/19/2022,2022,1,Wednesday,FALSE,short_dry,27.419,,,10008,,,113.42,54241584,23.69,1.19,67.1,-0.023559,37.906193,Kenya,national
